Name,Contract__r.Name,Contract__r.Account__r.Account_Code__c,Contract__r.Account__r.Nhom_Khu_vuc_KH__c,Contract__r.Account__r.BillingAddress,Product__r.STONE_Color_Type__c,Product__r.StockKeepingUnit,Product__r.Family,Product__r.Product_description_in_Vietnamese__c,Segment__c,Created_Date__c,Delivery_Date__c,Product_Discription__c,Length__c,Width__c,Height__c,Quantity__c,Crates__c,m2__c,m3__c,ml__c,Tons__c,Sales_Price__c,Charge_Unit__c,Total_Price_USD__c
Absolute Basalt Palisade 100258 (20),04/A-X399/24,X39,Nhóm đầu 3,"{""city"":""WOUSTVILLER"",""country"":""France"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""57915"",""state"":null,""street"":""44, rue de Nancy""}",ABSOLUTE BASALT,BD3.1DOX0-1000250080,PALISADE,"BAZAN ĐEN, Đá cây-6 mặt đốt xịt nước, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",Premium,2024-04-29,2024-05-15,Extreme Basalt Palisades All sides flamed + water jet finished All edge beveled,100,25,8,100,5,25,2,100,5.9,19.24,USD/PC,1924
Absolute Basalt Palisade 75258 (28),04/A-X399/24,X39,Nhóm đầu 3,"{""city"":""WOUSTVILLER"",""country"":""France"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""57915"",""state"":null,""street"":""44, rue de Nancy""}",ABSOLUTE BASALT,BD3.1DOX0-0750250080,PALISADE,"BAZAN ĐEN, Đá cây-6 mặt đốt xịt nước, vạt mép 4mm.",Premium,2024-04-29,2024-05-15,Extreme Basalt Palisades   All sides flamed + water jet finished All edge beveled,75,25,8,112,4,21,1.68,84,4.96,13.6,USD/PC,1523.2
Absolute Basalt Palisade 50258 (48),04/A-X399/24,X39,Nhóm đầu 3,"{""city"":""WOUSTVILLER"",""country"":""France"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""57915"",""state"":null,""street"":""44, rue de Nancy""}",ABSOLUTE BASALT,BD3.1DOX0-0500250080,PALISADE,"BAZAN ĐEN, Đá cây-6 mặt đốt xịt nước, vạt mép 4mm.",Premium,2024-04-29,2024-05-15,"Absolute Basalt Palisade  All sides flamed, waterjet finished and all edges beveled",50,25,8,48,1,6,0.48,24,1.42,8.6,USD/PC,412.8
Absolute Basalt Border 60206 (48),04/A-X399/24,X39,Nhóm đầu 3,"{""city"":""WOUSTVILLER"",""country"":""France"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""57915"",""state"":null,""street"":""44, rue de Nancy""}",ABSOLUTE BASALT,BD3.2DOX0-0600200060,PALISADE,"BAZAN ĐEN, Đá cây-Tất cả các mặt đốt xịt nước, vạt mép 3mm/45o.",Premium,2024-04-29,2024-05-15,"Extreme Basalt Border  All sides flamed + water jet, all edges beveled 3/3mm",60,20,6,96,2,11.52,0.69,57.6,2.04,6.48,USD/PC,622.08
Black Basalt Tiles 6140.63 (34),02/A-X87/22,X87,Nhóm đầu 8,"{""city"":""Hayward"",""country"":""United State"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""CA 94545."",""state"":null,""street"":""1963 Alpine Way""}",BLACK BASALT,BX7.1DOX1-0610406030,Interior_Tiles,"BAZAN XÁM, Đá lát-Mặt đốt, cạnh cưa, vạt mép 3mm",Premium,2024-04-26,2022-12-19,"Grey Basalt 
Flamed surface with 3mm bevels 24"" x 16"" x 1-3/16""",61,40.6,3,510,15,126.31,3.79,311.1,10.23,31.5,USD/M2,3978.66
Black Basalt Paving 6140.65 (20),02/A-X87/22,X87,Nhóm đầu 8,"{""city"":""Hayward"",""country"":""United State"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""CA 94545."",""state"":null,""street"":""1963 Alpine Way""}",BLACK BASALT,BX1.3DOX9-0610406050,Exterior_Tiles,"BAZAN XÁM, Đá lát - Mặt trên và 1 cạnh dài đốt chải, vạt mép 3mm. 24"" x 16"" x 2",Premium,2024-04-26,2022-12-19,"Grey Basalt Paving           1 Top face & 1 long edge Flamed with 3mm bevels 24"" x 16"" x 2""",61,40.6,5,120,6,29.72,1.49,73.2,4.01,55,USD/M2,1634.56
Black Basalt Tiles 152.4662 (6),01/A-X87/22,X87,Nhóm đầu 8,"{""city"":""Hayward"",""country"":""United State"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""CA 94545."",""state"":null,""street"":""1963 Alpine Way""}",BLACK BASALT,BX7.2HON1-1524660020,Interior_Tiles,"BAZAN XÁM, Đá lát-Mặt honed, vạt mép 3mm.",Super premium,2024-04-26,2022-11-05,BLACK BASALT Tiles  Honed surface + straight edges 60'' x 26'' x 3/4'',152.4,66,2,6,1,6.04,0.12,9.14,0.33,49.65,USD/PC,297.9
Black Basalt Tiles 6130.51.3 (120),02/A-X87/22,X87,Nhóm đầu 8,"{""city"":""Hayward"",""country"":""United State"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""CA 94545."",""state"":null,""street"":""1963 Alpine Way""}",BLACK BASALT,BX7.3HON1-0610305013,Interior_Tiles,"BAZAN XÁM, Đá lát-Mặt hon, vạt mép 3mm.",Super premium,2024-04-26,2022-12-19,Grey basalt Tiles  Honed surface + eased edges 24'' x 12'' x 1/2'',61,30.5,1.3,2160,18,401.87,5.22,1317.6,14.11,31.5,USD/M2,12658.84
Black Basalt Tiles 152.4662 (6),03/A-X87/22,X87,Nhóm đầu 8,"{""city"":""Hayward"",""country"":""United State"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""CA 94545."",""state"":null,""street"":""1963 Alpine Way""}",BLACK BASALT,BX7.2HON1-1524660020,Interior_Tiles,"BAZAN XÁM, Đá lát-Mặt honed, vạt mép 3mm.",Super premium,2024-04-26,2023-01-18,BLACK BASALT Tiles  Honed surface + straight edges 60'' x 26'' x 3/4'',152.4,66,2,3,1,3.02,0.06,4.57,0.16,49.65,USD/PC,148.95
Black Basalt Tiles 152.4662 (6),03/A-X87/22,X87,Nhóm đầu 8,"{""city"":""Hayward"",""country"":""United State"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""CA 94545."",""state"":null,""street"":""1963 Alpine Way""}",BLACK BASALT,BX7.2DOX1-1524660020,Interior_Tiles,"BAZAN XÁM, Đá lát-Mặt đốt, vạt mép 3mm.",Super premium,2024-04-26,2023-01-18,BLACK BASALT Tiles  Flamed surface + straight edges 60'' x 26'' x 3/4'',152.4,66,2,3,1,3.02,0.06,4.57,0.16,45.14,USD/PC,135.42
Black Basalt Tiles 6140.61.5 (68),02/A-X87/22,X87,Nhóm đầu 8,"{""city"":""Hayward"",""country"":""United State"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""CA 94545."",""state"":null,""street"":""1963 Alpine Way""}",BLACK BASALT,BX7.3DOX1-0610406015,Interior_Tiles,"BAZAN XÁM, Đá lát-mặt đốt chải, cạnh cưa,  vạt mép 3mm.",Super premium,2024-04-26,2022-12-19,"Grey Basalt Tiles  Flamed + brushed   24""X16""X5/8""",61,40.6,1.5,1020,15,252.61,3.79,622.2,10.23,34,USD/M2,8588.85
Bluestone Paving 15155 (320),02/X369/24,X36,Nhóm đầu 3,"{""city"":""Fruges"",""country"":""France"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""62310"",""state"":null,""street"":""01, Rue de la Paix""}",BLUESTONE,MB1.3MCA0-0150150050,Exterior_Tiles,"BLUESTONE, Đá lát-Quay mẻ CLC",Economy,2024-04-19,2024-05-24,"Bluestone Paving 
Sandblasted",15,15,5,8960,28,201.6,10.08,1344,27.22,17.5,USD/M2,3528
Bluestone Paving 10104 (936),02/A-X45/24,X45,Nhóm đầu 4,"{""city"":""Knocknatubbrid"",""country"":""Ireland"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""R93 DC93"",""state"":null,""street"":""Tullow, Co. Carlow""}",BLUESTONE,MB1.2GCR0-0100100040,Exterior_Tiles,"BLUESTONE, Đá lát-Giả cổ rung",Common,2024-04-17,2024-06-14,Blue Limestone Paving  Honed + tumbled,10,10,4,20592,22,205.92,8.24,2059.2,22.24,21.8,USD/M2,4489.06
Absolute Basalt Tiles 60403 (34),01/A-X23.1/24,X23.1,Nhóm đầu 2,"{""city"":""Mechernich"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""53894"",""state"":null,""street"":""Zülpicher Str. 16""}",ABSOLUTE BASALT,BD7.1DOX1-0600400030,Interior_Tiles,"BAZAN ĐEN, Đá lát-Mặt đốt xịt nước, cạnh cưa, vạt mép 3mm/45o",Premium,2024-04-17,2024-05-11,Absolute Basalt Tiles  Surface flamed - waterjet finished and top edges chamfered,60,40,3,136,4,32.64,0.98,81.6,2.89,26.2,USD/M2,855.17
Bluestone Paving 20104 (500),02/A-X45/24,X45,Nhóm đầu 4,"{""city"":""Knocknatubbrid"",""country"":""Ireland"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""R93 DC93"",""state"":null,""street"":""Tullow, Co. Carlow""}",BLUESTONE,MB1.2GCR0-0200100040,Exterior_Tiles,"BLUESTONE, Đá lát-Giả cổ rung",Common,2024-04-17,2024-06-14,Blue Limestone Paving  Honed + tumbled,20,10,4,2315,5,46.3,1.85,463,5,21,USD/M2,972.3
Absolute Basalt Riser 75143 (6),02/A-X23.1/24,X23.1,Nhóm đầu 2,"{""city"":""Mechernich"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""53894"",""state"":null,""street"":""Zülpicher Str. 16""}",ABSOLUTE BASALT,BD4.1DOX4-0750140030,STAIR,"BAZAN ĐEN, Đá ốp bậc thang - Mặt đốt xịt nước, 2 cạnh ngắn hon, các cạnh còn lại cưa, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",Super premium,2024-04-10,2024-05-15,"Absolute Black Basalt Riser
Surface Flamed, then water jet, then brushed, both short sides honed, Rest sawn",75,14,3,6,1,0.63,0.02,4.5,0.06,5.46,USD/PC,32.76
Absolute Basalt Stair 1003515 (8),03/A-X399/24,X39,Nhóm đầu 3,"{""city"":""WOUSTVILLER"",""country"":""France"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""57915"",""state"":null,""street"":""44, rue de Nancy""}",ABSOLUTE BASALT,BD4.1DOX0-1000350150,STAIR,"BAZAN ĐEN, Bậc thang-6 mặt đốt xịt nước, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",Premium,2024-04-10,2024-05-16,"Extreme Basalt Stair All sides flamed & water jet finished, 2 long Edge beveled 5/5mm and all other edge beveled 3/3mm",100,35,15,40,5,14,2.1,40,6.2,50.66,USD/PC,2026.4
Absolute Basalt Copings 100304 (25),03/A-X399/24,X39,Nhóm đầu 3,"{""city"":""WOUSTVILLER"",""country"":""France"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""57915"",""state"":null,""street"":""44, rue de Nancy""}",ABSOLUTE BASALT,BD2.2DOX4-1000300040,"Pool surrounding,Window sill, covering","BAZAN ĐEN, Nắp tường rào-Mặt đốt xịt nước, hai cạnh dài hon, 2 rãnh thoát nước dọc 2 cạnh dài 0.5x0.5cm cách mép 1.5cm, rãnh cắt hết, vạt mép cạnh dài 3mm.",Premium,2024-04-10,2024-05-16,"Extreme Basalt Copings  Top flamed + water jet finished, 2 long sides honed with 2 drain drop, 4 long edges beveled 3/3mm",100,30,4,150,6,45,1.8,150,5.31,17.16,USD/PC,2574
Absolute Basalt Palisade 75258 (28),03/A-X399/24,X39,Nhóm đầu 3,"{""city"":""WOUSTVILLER"",""country"":""France"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""57915"",""state"":null,""street"":""44, rue de Nancy""}",ABSOLUTE BASALT,BD3.1DOX0-0750250080,PALISADE,"BAZAN ĐEN, Đá cây-6 mặt đốt xịt nước, vạt mép 4mm.",Premium,2024-04-10,2024-05-16,Extreme Basalt Palisades   All sides flamed + water jet finished All edge beveled,75,25,8,84,3,15.75,1.26,63,3.72,13.6,USD/PC,1142.4
Absolute Basalt Palisade 100256 (30),03/A-X21.2/24,X21.2,Nhóm đầu 2,"{""city"":""Delbrück"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""33129"",""state"":null,""street"":""Wiebeler Str. 62""}",ABSOLUTE BASALT,BD3.1DOX0-1000250060,PALISADE,"BAZAN ĐEN, Đá cây-6 mặt đốt xịt nước, vạt mép 4mm.",Premium,2024-04-10,2024-05-22,"Absolute Basalt Palisade  All sides flamed, waterjet finished and all edges beveled",100,25,6,192,8,48,2.88,192,8.5,17.25,USD/PC,3312
Absolute Basalt Riser 115143 (6),02/A-X23.1/24,X23.1,Nhóm đầu 2,"{""city"":""Mechernich"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""53894"",""state"":null,""street"":""Zülpicher Str. 16""}",ABSOLUTE BASALT,BD4.1DOX4-1150140030,STAIR,"BAZAN ĐEN, Đá ốp bậc thang - Mặt đốt xịt nước, 2 cạnh ngắn hon, các cạnh còn lại cưa, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",Super premium,2024-04-10,2024-05-15,"Absolute Black Basalt Riser
Surface Flamed, then water jet, then brushed, both short sides honed, Rest sawn",115,14,3,6,1,0.97,0.03,6.9,0.09,8.37,USD/PC,50.22
Absolute Basalt Palisade 100356 (22),03/A-X21.2/24,X21.2,Nhóm đầu 2,"{""city"":""Delbrück"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""33129"",""state"":null,""street"":""Wiebeler Str. 62""}",ABSOLUTE BASALT,BD3.1DOX0-1000350060,PALISADE,"BAZAN ĐEN, Đá cây-6 mặt đốt xịt nước, vạt mép 4mm.",Premium,2024-04-10,2024-05-22,"Absolute Basalt Palisade  All sides flamed, waterjet finished and all edges beveled",100,35,6,88,4,30.8,1.85,88,5.45,24.15,USD/PC,2125.2
Absolute Basalt Stair 1203515 (8),03/A-X21.2/24,X21.2,Nhóm đầu 2,"{""city"":""Delbrück"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""33129"",""state"":null,""street"":""Wiebeler Str. 62""}",ABSOLUTE BASALT,BD4.1DOX0-1200350150,STAIR,"BAZAN ĐEN, Bậc thang-6 mặt đốt xịt nước, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",Premium,2024-04-10,2024-05-22,"Extreme Basalt Stair All sides flamed & water jet finished, 2 long Edge beveled 5/5mm and all other edge beveled 3/3mm",120,35,15,24,3,10.08,1.51,28.8,4.46,61.43,USD/PC,1474.32
Absolute Basalt Tiles 120403 (8),03/A-X21.2/24,X21.2,Nhóm đầu 2,"{""city"":""Delbrück"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""33129"",""state"":null,""street"":""Wiebeler Str. 62""}",ABSOLUTE BASALT,BD1.0DOX1-1200400030,SLAB,"BAZAN ĐEN, Đá lát-Mặt đốt xịt nước, cạnh cưa, vạt mép 2mm",Premium,2024-04-10,2024-05-22,"Absolute Basalt Tiles
Flamed and water jet finished, other sides sawn, edges with chamfered 2/2mm.",120,40,3,125,5,60,1.8,150,5.31,29.5,USD/M2,1770
Absolute Basalt Stair 120393 (6),02/A-X23.1/24,X23.1,Nhóm đầu 2,"{""city"":""Mechernich"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""53894"",""state"":null,""street"":""Zülpicher Str. 16""}",ABSOLUTE BASALT,BD4.1DOX4-1200390030,STAIR,"BAZAN ĐEN, Bậc thang- Mặt đốt xịt nước, 1 cạnh dài và 2 cạnh ngắn hon, các cạnh còn lại cưa, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",Super premium,2024-04-10,2024-05-15,"Absolute Black Basalt Steps
Surface Flamed, then water jet, then brushed, 1 long side and both short sides honed, Rest sawn",120,39,3,6,1,2.81,0.08,7.2,0.25,24.34,USD/PC,146.04
Absolute Basalt Stair 80393 (6),02/A-X23.1/24,X23.1,Nhóm đầu 2,"{""city"":""Mechernich"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""53894"",""state"":null,""street"":""Zülpicher Str. 16""}",ABSOLUTE BASALT,BD4.1DOX4-0800390030,STAIR,"BAZAN ĐEN, Bậc thang- Mặt đốt xịt nước, 1 cạnh dài và 2 cạnh ngắn hon, các cạnh còn lại cưa, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",Super premium,2024-04-10,2024-05-15,"Absolute Black Basalt Steps
Surface Flamed, then water jet, then brushed, 1 long side and both short sides honed, Rest sawn",80,39,3,6,1,1.87,0.06,4.8,0.17,16.22,USD/PC,97.32
Absolute Basalt Cubic 10108 (700),03/A-X21.2/24,X21.2,Nhóm đầu 2,"{""city"":""Delbrück"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""33129"",""state"":null,""street"":""Wiebeler Str. 62""}",ABSOLUTE BASALT,BD1.1DOX3-0100100080,Exterior_Tiles,"BAZAN ĐEN, Cubic-Mặt trên đốt xịt nước, 4 cạnh chẻ tay tự nhiên, đáy cưa.",Common,2024-04-10,2024-05-22,"Absolute Black Basalt Cobble  Top sides flamed and waterjet, 4  sides split & bottom sawn",10,10,8,1400,2,14,1.12,140,2.97,46.4,USD/M2,649.6
Absolute Basalt Tiles 60403 (34),03/A-X399/24,X39,Nhóm đầu 3,"{""city"":""WOUSTVILLER"",""country"":""France"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""57915"",""state"":null,""street"":""44, rue de Nancy""}",ABSOLUTE BASALT,BD7.1DOX1-0600400030,Interior_Tiles,"BAZAN ĐEN, Đá lát-Mặt đốt xịt nước, cạnh cưa, vạt mép 3mm/45o",Premium,2024-04-10,2024-05-16,Absolute Basalt Tiles  Surface flamed - waterjet finished and top edges chamfered,60,40,3,510,15,122.4,3.67,306,10.83,26.2,USD/M2,3206.88
Absolute Basalt Copings 100303 (35),03/A-X399/24,X39,Nhóm đầu 3,"{""city"":""WOUSTVILLER"",""country"":""France"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""57915"",""state"":null,""street"":""44, rue de Nancy""}",ABSOLUTE BASALT,BD2.2DOX4-1000300030,"Pool surrounding,Window sill, covering","BAZAN ĐEN, Nắp tường rào-Mặt đốt xịt nước, 2 cạnh dài hon, 2 rãnh thoát nước dọc 2 cạnh dài 0.5x0.5cm cách mép 1.5cm, rãnh cắt hết, vạt mép cạnh dài 3mm.",Super premium,2024-04-10,2024-05-16,"Extreme Basalt Copings Top flamed + water jet finished, 2 long sides honed with 2 drain drop, 4 long edges beveled 3/3mm",100,30,3,105,3,31.5,0.95,105,2.79,14.4,USD/PC,1512
Black Basalt Cubic 10108 (700) TON,04/A-X27/24,X27,Nhóm đầu 2,"{""city"":""PETERSDORF"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""94265"",""state"":null,""street"":""LINDENWEG 1""}",BLACK BASALT,BX1.1CTA9-0100100080,Exterior_Tiles,"BAZAN XÁM, Cubic-Chẻ tay tự nhiên",Economy,2024-04-08,2024-04-30,Black Basalt Cubic Hand split (Packing in wooden crate),10,10,8,29400,42,294,23.52,2940,56.1,115.3,USD/TON,6468.33
Bluestone Paving 2485 (360),01/A-X45/24,X45,Nhóm đầu 4,"{""city"":""Knocknatubbrid"",""country"":""Ireland"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""R93 DC93"",""state"":null,""street"":""Tullow, Co. Carlow""}",BLUESTONE,MB1.3GCR0-0240080050,Exterior_Tiles,"BLUESTONE, Đá lát-Giả cổ rung",Common,2024-04-05,2024-05-31,Blue Limestone Paving  Honed + tumbled,24,8,5,20880,58,400.9,20.04,5011.2,54.12,22.5,USD/M2,9020.16
Bluestone Paving 20104 (500),01/A-X45/24,X45,Nhóm đầu 4,"{""city"":""Knocknatubbrid"",""country"":""Ireland"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""R93 DC93"",""state"":null,""street"":""Tullow, Co. Carlow""}",BLUESTONE,MB1.2GCR0-0200100040,Exterior_Tiles,"BLUESTONE, Đá lát-Giả cổ rung",Common,2024-04-05,2024-05-31,Blue Limestone Paving  Honed + tumbled,20,10,4,12501,27,250.02,10,2500.2,27,21,USD/M2,5250.42
Bluestone Copings 100354 (20),01/X369/24,X36,Nhóm đầu 3,"{""city"":""Fruges"",""country"":""France"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""62310"",""state"":null,""street"":""01, Rue de la Paix""}",BLUESTONE,MB2.2MGI0-1000350040,"Pool surrounding,Window sill, covering","BLUESTONE, Nắp tường rào-Mặt và 2 cạnh dài mài giấy, 2 rãnh thoát nước dọc 2 cạnh dài 0.5x0.5cm cách mép 2cm, vạt mép trên và mép dưới 2 cạnh dài 3mm.",Premium,2024-04-03,2024-05-31,"Dark Bluestone Covering  Scraped with 02 waterline size of 1x1cm, edges of long sides chamfered 3/4mm",100,35,4,220,11,77,3.08,220,8.32,16.3,USD/PC,3586
Bluestone Tiles 40402 (100),01/X369/24,X36,Nhóm đầu 3,"{""city"":""Fruges"",""country"":""France"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""62310"",""state"":null,""street"":""01, Rue de la Paix""}",BLUESTONE,MB1.2QME0-0400400020,Exterior_Tiles,"BLUESTONE, Đá lát-Quay mẻ.",Common,2024-04-03,2024-05-31,Bluestone Tiles Premium tumbled,40,40,2,2200,22,352,7.04,880,19.01,14.5,USD/M2,5104
Black Basalt Cubic 14148 (7700),01/A-X12/24,X12,Nhóm đầu 1,"{""city"":""BD 's Hertogenbosch"",""country"":""Netherlands"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""5236"",""state"":null,""street"":""Rosmalensedijk 10""}",BLACK BASALT,BX1.1CTA0-0140140080,Exterior_Tiles,"BAZAN XÁM, Cubic-Chẻ tay tự nhiên",Economy,2024-03-29,2024-04-24,"Basalt cubes Natural split, loose container packing.",14,14,8,4802,14,94.12,7.53,672.28,17.46,22.1,USD/M2,2080.03
Bluestone Tiles 20202.5 (360),04/A-X499/21,X49,Nhóm đầu 4,"{""city"":""CO DUBLIN"",""country"":""Ireland"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""D11 XK03"",""state"":null,""street"":""BULLSTOWN, THE WARD""}",BLUESTONE,MB7.1GCR0-0200200025,Interior_Tiles,"BLUESTONE, Đá lát-Giả cổ rung",Economy,2024-03-28,2021-05-05,Bluestone Tiles Vietnostyle,20,20,2.5,200,1,8,0.2,40,0.54,0,USD/M2,0
Black Basalt Poolcovers 60606/3,0124/X112,X11.2,Nhóm đầu 1,"{""city"":""KL, Hengelo GLD?, GELDERLAND"",""country"":""Netherlands"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""7255"",""state"":null,""street"":""Bronkhorsterstraat 9""}",BLACK BASALT,BX6.1DOX1-060060I6/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Đá bo hồ bơi-Góc bên trong. Mặt đốt, cạnh cưa, vạt mép 2mm, đáy cắt 6/3 cạnh trong bo tròn R=3 và hone (như bản vẽ đính kèm)",Super premium,2024-03-28,2024-06-14,"Black basalt Poolcovers -Inner Corner
Top side flamed, bottom sawn, heads sawn, inner edge 6cm honed and up and down chamfered - back edges (3cm) also honed and up and down chamfered 2mm, - Drawing",60,60,6,40,2,14.4,0.86,24,2.33,39.2,USD/PC,1568
Black Basalt Poolcovers 60606/3,0124/X112,X11.2,Nhóm đầu 1,"{""city"":""KL, Hengelo GLD?, GELDERLAND"",""country"":""Netherlands"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""7255"",""state"":null,""street"":""Bronkhorsterstraat 9""}",BLACK BASALT,BX6.1DOX1-060060O6/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Đá bo hồ bơi-Góc bên ngoài. Mặt đốt, cạnh cưa, vạt mép 2mm, đáy cắt 6/3 cạnh bên ngoài bo tròn R=3 và hone (như bản vẽ đính kèm)",Super premium,2024-03-28,2024-06-14,"Black basalt Poolcovers- Outher Corner
Top side flamed, bottom sawn, heads sawn, outher edge 6cm honed and up and down chamfered - back edges (3cm) also honed and up and down chamfered 2mm, Outher Corner- Drawing",60,60,6,20,1,7.2,0.43,12,1.17,39.2,USD/PC,784
Bluestone Tiles 60402.5 (40),06/A-X499/21,X49,Nhóm đầu 4,"{""city"":""CO DUBLIN"",""country"":""Ireland"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""D11 XK03"",""state"":null,""street"":""BULLSTOWN, THE WARD""}",BLUESTONE,MB7.1GCR0-0600400025,Interior_Tiles,"BLUESTONE, Đá lát-Giả cổ rung",Premium,2024-03-28,2021-12-14,Bluestone Tiles  Antique vibrated (Vietnostyle),60,40,2.5,3360,84,806.4,20.16,2016,54.43,20.6,USD/M2,16611.84
Bluestone Cubic 20105 (360),06/A-X499/21,X49,Nhóm đầu 4,"{""city"":""CO DUBLIN"",""country"":""Ireland"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""D11 XK03"",""state"":null,""street"":""BULLSTOWN, THE WARD""}",BLUESTONE,MB1.1GCR0-0200100050,Exterior_Tiles,"BLUESTONE, Cubic-Giả cổ rung",Common,2024-03-28,2021-12-14,Vietnamese Bluestone Cobbles  Antique vibrated + calibrated + tumbled,20,10,5,25200,70,504,25.2,5040,68.04,22.2,USD/M2,11188.8
Bluestone Cubic 10105 (720),06/A-X499/21,X49,Nhóm đầu 4,"{""city"":""CO DUBLIN"",""country"":""Ireland"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""D11 XK03"",""state"":null,""street"":""BULLSTOWN, THE WARD""}",BLUESTONE,MB1.1GCR0-0100100050,Exterior_Tiles,"BLUESTONE, Cubic-Giả cổ rung",Common,2024-03-28,2021-12-14,Vietnamese Bluestone Cobbles  Antique vibrated + calibrated + tumbled,10,10,5,10080,14,100.8,5.04,1008,13.61,22.6,USD/M2,2278.08
Bluestone Cubic 20105 (360),05/A-X499/21,X49,Nhóm đầu 4,"{""city"":""CO DUBLIN"",""country"":""Ireland"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""D11 XK03"",""state"":null,""street"":""BULLSTOWN, THE WARD""}",BLUESTONE,MB1.1GCR0-0200100050,Exterior_Tiles,"BLUESTONE, Cubic-Giả cổ rung",Common,2024-03-28,2021-10-18,Vietnamese Bluestone Cobbles  Antique vibrated + calibrated + tumbled,20,10,5,16560,46,331.2,16.56,3312,44.71,22.2,USD/M2,7352.64
Bluestone Cubic 10105 (720),05/A-X499/21,X49,Nhóm đầu 4,"{""city"":""CO DUBLIN"",""country"":""Ireland"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""D11 XK03"",""state"":null,""street"":""BULLSTOWN, THE WARD""}",BLUESTONE,MB1.1GCR0-0100100050,Exterior_Tiles,"BLUESTONE, Cubic-Giả cổ rung",Common,2024-03-28,2021-10-18,Vietnamese Bluestone Cobbles  Antique vibrated + calibrated + tumbled,10,10,5,7200,10,72,3.6,720,9.72,22.6,USD/M2,1627.2
