contract_product_name,contract_name,account_code,customer_regional_group,billing_country,stone_color_type,sku,application_code,application,application_vn,processing_code,processing_name,family,segment,created_date,fy_year,product_description,product_description_vn,length_cm,width_cm,height_cm,quantity,crates,m2,m3,ml,tons,sales_price,charge_unit,total_price_usd,price_m3,volume_m3,area_m2,specific_gravity,hs_coefficient
Bluestone Cubic 20105 (360),02/A-X499/21,X49,Nhóm đầu 4,Ireland,MB,MB1.1GCR0-0200100050,1.1,Cubes / Cobbles,Cubic (Đá vuông),GCR,Vibrated Honed Tumbled,Exterior_Tiles,Common,2024-03-28,2024.0,Vietnamese Bluestone Cobbles  Antique vibrated + calibrated + tumbled,"BLUESTONE, Cubic-Giả cổ rung",20.0,10.0,5.0,6840.0,19.0,136.8,6.84,1368.0,18.47,22.2,USD/M2,3036.96,444.0,0.001,0.02,2.7,1.0
Bluestone Tiles 60402.5 (40),02/A-X499/21,X49,Nhóm đầu 4,Ireland,MB,MB7.1GCR0-0600400025,7.1,Other (7.1),Khác (7.1),GCR,Vibrated Honed Tumbled,Interior_Tiles,Premium,2024-03-28,2024.0,Bluestone Tiles  Antique vibrated (Vietnostyle),"BLUESTONE, Đá lát-Giả cổ rung",60.0,40.0,2.5,1680.0,42.0,403.2,10.08,1008.0,27.22,20.6,USD/M2,8305.92,824.0,0.006,0.24,2.7,1.0
Bluestone Tiles 60402.5 (40),03/A-X499/21,X49,Nhóm đầu 4,Ireland,MB,MB7.1GCR0-0600400025,7.1,Other (7.1),Khác (7.1),GCR,Vibrated Honed Tumbled,Interior_Tiles,Premium,2024-03-28,2024.0,Bluestone Tiles  Antique vibrated (Vietnostyle),"BLUESTONE, Đá lát-Giả cổ rung",60.0,40.0,2.5,5040.0,126.0,1209.6,30.24,3024.0,81.65,20.6,USD/M2,24917.76,824.0,0.006,0.24,2.7,1.0
Bluestone Tiles 60402.5 (40),04/A-X499/21,X49,Nhóm đầu 4,Ireland,MB,MB7.1GCR0-0600400025,7.1,Other (7.1),Khác (7.1),GCR,Vibrated Honed Tumbled,Interior_Tiles,Premium,2024-03-28,2024.0,Bluestone Tiles  Antique vibrated (Vietnostyle),"BLUESTONE, Đá lát-Giả cổ rung",60.0,40.0,2.5,1680.0,42.0,403.2,10.08,1008.0,27.22,20.6,USD/M2,8305.92,824.0,0.006,0.24,2.7,1.0
Bluestone Tiles 20202.5 (360),04/A-X499/21,X49,Nhóm đầu 4,Ireland,MB,MB7.1GCR0-0200200025,7.1,Other (7.1),Khác (7.1),GCR,Vibrated Honed Tumbled,Interior_Tiles,Economy,2024-03-28,2024.0,Bluestone Tiles Vietnostyle,"BLUESTONE, Đá lát-Giả cổ rung",20.0,20.0,2.5,200.0,1.0,8.0,0.2,40.0,0.54,0.0,USD/M2,0.0,0.0,0.001,0.04,2.7,1.0
Bluestone Cubic 10105 (720),05/A-X499/21,X49,Nhóm đầu 4,Ireland,MB,MB1.1GCR0-0100100050,1.1,Cubes / Cobbles,Cubic (Đá vuông),GCR,Vibrated Honed Tumbled,Exterior_Tiles,Common,2024-03-28,2024.0,Vietnamese Bluestone Cobbles  Antique vibrated + calibrated + tumbled,"BLUESTONE, Cubic-Giả cổ rung",10.0,10.0,5.0,7200.0,10.0,72.0,3.6,720.0,9.72,22.6,USD/M2,1627.2,452.0,0.0005,0.01,2.7,1.0
Bluestone Cubic 20105 (360),05/A-X499/21,X49,Nhóm đầu 4,Ireland,MB,MB1.1GCR0-0200100050,1.1,Cubes / Cobbles,Cubic (Đá vuông),GCR,Vibrated Honed Tumbled,Exterior_Tiles,Common,2024-03-28,2024.0,Vietnamese Bluestone Cobbles  Antique vibrated + calibrated + tumbled,"BLUESTONE, Cubic-Giả cổ rung",20.0,10.0,5.0,16560.0,46.0,331.2,16.56,3312.0,44.71,22.2,USD/M2,7352.64,444.00000000000006,0.001,0.02,2.7,1.0
Bluestone Cubic 10105 (720),06/A-X499/21,X49,Nhóm đầu 4,Ireland,MB,MB1.1GCR0-0100100050,1.1,Cubes / Cobbles,Cubic (Đá vuông),GCR,Vibrated Honed Tumbled,Exterior_Tiles,Common,2024-03-28,2024.0,Vietnamese Bluestone Cobbles  Antique vibrated + calibrated + tumbled,"BLUESTONE, Cubic-Giả cổ rung",10.0,10.0,5.0,10080.0,14.0,100.8,5.04,1008.0,13.61,22.6,USD/M2,2278.08,452.0,0.0005,0.01,2.7,1.0
Bluestone Cubic 20105 (360),06/A-X499/21,X49,Nhóm đầu 4,Ireland,MB,MB1.1GCR0-0200100050,1.1,Cubes / Cobbles,Cubic (Đá vuông),GCR,Vibrated Honed Tumbled,Exterior_Tiles,Common,2024-03-28,2024.0,Vietnamese Bluestone Cobbles  Antique vibrated + calibrated + tumbled,"BLUESTONE, Cubic-Giả cổ rung",20.0,10.0,5.0,25200.0,70.0,504.0,25.2,5040.0,68.04,22.2,USD/M2,11188.8,444.0,0.001,0.02,2.7,1.0
Bluestone Tiles 60402.5 (40),06/A-X499/21,X49,Nhóm đầu 4,Ireland,MB,MB7.1GCR0-0600400025,7.1,Other (7.1),Khác (7.1),GCR,Vibrated Honed Tumbled,Interior_Tiles,Premium,2024-03-28,2024.0,Bluestone Tiles  Antique vibrated (Vietnostyle),"BLUESTONE, Đá lát-Giả cổ rung",60.0,40.0,2.5,3360.0,84.0,806.4,20.16,2016.0,54.43,20.6,USD/M2,16611.84,824.0,0.006,0.24,2.7,1.0
